year,SP500_beginning_price,SP500_ending_price,SP500_gain_or_loss,SP500_percent_gain_or_loss
1975,68.56,90.19,21.63,31.55
1976,90.19,107.46,19.15,19.15
1977,107.46,95.1,-12.36,-11.5
1978,95.1,96.73,1.63,1.71
1979,96.73,107.94,11.21,11.59
1980,107.94,135.76,27.82,25.77
1981,135.76,122.55,-13.21,-9.73
1982,122.55,140.64,18.09,14.76
1983,140.64,164.93,24.29,17.27
1984,164.93,167.24,2.31,1.4
1985,167.24,211.28,44.04,26.33
1986,211.28,242.17,30.89,14.62
1987,242.17,247.08,4.91,2.03
1988,247.08,277.72,30.64,12.4
1989,277.72,353.4,75.68,27.25
1990,353.4,330.22,-23.18,-6.56
1991,330.22,417.09,86.87,26.31
1992,417.09,435.71,18.62,4.46
1993,435.71,466.45,30.74,7.06
1994,466.45,459.27,-7.18,-1.54
1995,459.27,615.93,156.66,34.11
1996,615.93,740.74,124.81,20.26
1997,740.74,970.43,229.69,31.01
1998,970.43,1229.23,258.8,26.67
1999,1229.23,1469.25,240.02,19.53
2e3,1469.25,1320.28,-148.97,-10.14
2001,1320.28,1148.08,-172.2,-13.04
2002,1148.08,879.82,-268.26,-23.37
2003,879.82,1111.92,232.1,26.38
2004,1111.92,1211.92,100,8.99
2005,1211.92,1248.29,36.37,3
2006,1248.29,1418.3,170.01,13.62
2007,1418.3,1468.36,50.06,3.53
2008,1468.36,903.25,-565.11,-38.49
2009,903.25,1115.1,211.85,23.45
2010,1115.1,1257.64,142.54,12.78
2011,1257.64,1257.6,-0.04,-0
2012,1257.6,1426.19,168.59,13.41
2013,1426.19,1848.36,422.17,29.6
2014,1848.36,2058.9,210.54,11.39
2015,2058.9,2043.94,-14.96,-0.73
2016,2043.94,2238.83,194.89,9.54
2017,2238.83,2673.61,434.78,19.42
