"","year","wins","win_percent","conference_wins","conference_win_percent","ppg","opponent_ppg","pre_season_rank","highest_rank","final_rank"
"1",1911,7,0.636,NA,NA,NA,NA,NA,NA,NA
"2",1912,4,0.444,NA,NA,NA,NA,NA,NA,NA
"3",1913,4,0.364,NA,NA,NA,NA,NA,NA,NA
"4",1914,10,0.556,NA,NA,NA,NA,NA,NA,NA
"5",1915,6,0.375,NA,NA,NA,NA,NA,NA,NA
"6",1916,12,0.667,NA,NA,NA,NA,NA,NA,NA
"7",1917,5,0.556,NA,NA,NA,NA,NA,NA,NA
"8",1918,9,0.75,NA,NA,NA,NA,NA,NA,NA
"9",1919,9,0.563,NA,NA,NA,NA,NA,NA,NA
"10",1920,7,0.438,NA,NA,NA,NA,NA,NA,NA
"11",1921,12,0.6,NA,NA,NA,NA,NA,NA,NA
"12",1922,15,0.714,3,0.5,NA,NA,NA,NA,NA
"13",1923,15,0.938,5,1,NA,NA,NA,NA,NA
"14",1924,26,1,7,1,NA,NA,NA,NA,NA
"15",1925,20,0.8,8,1,NA,NA,NA,NA,NA
"16",1926,20,0.8,7,1,NA,NA,NA,NA,NA
"17",1927,17,0.708,7,0.7,NA,NA,NA,NA,NA
"18",1928,17,0.895,8,0.889,NA,NA,NA,NA,NA
"19",1929,17,0.68,12,0.857,NA,NA,NA,NA,NA
"20",1930,14,0.56,4,0.364,NA,NA,NA,NA,NA
"21",1931,15,0.625,6,0.5,NA,NA,NA,NA,NA
"22",1932,16,0.762,6,0.667,NA,NA,NA,NA,NA
"23",1933,12,0.706,5,0.625,NA,NA,NA,NA,NA
"24",1934,18,0.818,12,0.857,NA,NA,NA,NA,NA
"25",1935,23,0.92,12,0.923,NA,NA,NA,NA,NA
"26",1936,21,0.84,13,0.813,NA,NA,NA,NA,NA
"27",1937,18,0.783,14,0.824,NA,NA,NA,NA,NA
"28",1938,16,0.762,13,0.813,NA,NA,NA,NA,NA
"29",1939,10,0.476,8,0.533,NA,NA,NA,NA,NA
"30",1940,23,0.885,11,0.846,NA,NA,NA,NA,NA
"31",1941,19,0.679,14,0.933,NA,NA,NA,NA,NA
"32",1942,14,0.609,9,0.643,NA,NA,NA,NA,NA
"33",1943,12,0.545,8,0.471,NA,NA,NA,NA,NA
"34",1944,17,0.63,9,0.9,NA,NA,NA,NA,NA
"35",1945,22,0.786,11,0.786,NA,NA,NA,NA,NA
"36",1946,30,0.857,13,0.929,NA,NA,NA,NA,NA
"37",1947,19,0.704,10,0.833,NA,NA,NA,NA,NA
"38",1948,20,0.741,11,0.733,53.8,46,NA,NA,NA
"39",1949,20,0.714,13,0.722,57.3,52.9,NA,NA,NA
"40",1950,17,0.586,13,0.684,57,NA,NA,NA,NA
"41",1951,12,0.444,9,0.529,NA,NA,NA,NA,NA
"42",1952,12,0.444,8,0.421,NA,NA,NA,NA,NA
"43",1953,17,0.63,15,0.714,NA,NA,NA,12,NA
"44",1954,11,0.524,5,0.455,68.5,63.6,NA,NA,NA
"45",1955,10,0.476,8,0.571,75.8,76.1,NA,NA,NA
"46",1956,18,0.783,11,0.786,80,71,NA,4,13
"47",1957,32,1,14,1,79.3,65.6,NA,1,1
"48",1958,19,0.731,10,0.714,71.8,64.9,NA,1,13
"49",1959,20,0.8,12,0.857,71.9,65.2,NA,1,9
"50",1960,18,0.75,12,0.857,73.1,62.3,NA,12,NA
"51",1961,19,0.826,12,0.857,76.7,65.7,NA,4,5
"52",1962,8,0.471,7,0.5,72.4,72.6,NA,NA,NA
"53",1963,15,0.714,10,0.714,76.6,70.8,NA,10,NA
"54",1964,12,0.5,6,0.429,77.5,77.5,NA,NA,NA
"55",1965,15,0.625,10,0.714,79.8,77.6,13,13,NA
"56",1966,16,0.593,8,0.571,80.9,74.3,NA,NA,NA
"57",1967,26,0.813,12,0.857,82.2,NA,9,2,4
"58",1968,28,0.875,12,0.857,83.8,72.4,4,3,4
"59",1969,27,0.844,12,0.857,88.9,75.7,2,2,4
"60",1970,18,0.667,9,0.643,88.9,78.8,7,4,NA
"61",1971,26,0.813,11,0.786,84.6,71.8,NA,8,13
"62",1972,26,0.839,9,0.75,89.1,71.4,2,2,2
"63",1973,25,0.758,8,0.667,84.7,72.8,NA,3,11
"64",1974,22,0.786,9,0.75,87,75.3,5,4,12
"65",1975,23,0.742,8,0.667,84.6,78,11,6,9
"66",1976,25,0.862,11,0.917,85.1,74.3,5,3,8
"67",1977,28,0.848,9,0.75,83.6,72.6,3,3,5
"68",1978,23,0.742,9,0.75,81.1,70.7,1,1,16
"69",1979,23,0.793,9,0.75,76.5,65.4,16,2,9
